hotelType,bedType,bed,roomType,view,Master_room_type,room_name,room_master
Standart,Other,Other,adjoining ,Other,adjoining ,Adjoining Room,
Standart,Other,Other,adjoining ,Other,adjoining ,Adjoining Rooms,
apartment ,Other,Other,Apartment,Other,Apartment,1 Bedroom + Living Room Apartment 2 People,
apartment ,Other,Other,Apartment,Other,Apartment,1 Bedroom Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,1 Bedroom Apartment (1),
apartment ,Other,Other,Apartment,Other,Apartment,1 Bedroom Apartment (2 Adults),
apartment ,Other,Other,Apartment,Other,Apartment,1 Bedroom Apartment (2),
apartment ,Other,Other,Apartment,Other,Apartment,1 Bedroom Apartment (4 Adults),
apartment ,Other,Other,Apartment,Other,Apartment,1 Bedroom Apartment - Room Only,
apartment ,Other,Other,Apartment,Other,Apartment,1 Bedroom Apartment Hot Deal,
apartment ,Other,Other,Apartment,Other,Apartment,1 Bedroom Apartment With Breakfast,
apartment ,Other,king ,Apartment,Other,Apartment,"1 Bedroom Apartment, 1 King Size Bed",
apartment ,Other,Other,Apartment,Other,Apartment,1 Bedroom Service Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,1-Bedroom Apartment,
apartment ,Other,king ,Apartment,Other,Apartment,1-Bedroom Apartment With King Bed,
apartment ,Other,Other,Apartment,Other,Apartment,2 Bed Room Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,2 Bedroom Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,2 Bedroom Apartment (4 Adults),
apartment ,Other,Other,Apartment,Other,Apartment,2 Bedroom Apartment (5 Adults),
apartment ,Other,Other,Apartment,Other,Apartment,2 Bedroom Apartment (6 Adults),
apartment ,Other,Other,Apartment,Other,Apartment,2 Bedrooms Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,2-Bedroom Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,2-Bedroom Apartment ‒ Non-Smoking,
apartment ,Other,Other,Apartment,city ,Apartment,2-Bedroom City View Apartment With Terrace,
apartment ,Other,Other,Apartment,Sea,Apartment,3 Bed Room Apartment With Sea View,
apartment ,Other,Other,Apartment,Other,Apartment,3 Bedroom Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,3 Bedroom Apartment (6 Adults),
apartment ,Other,Other,Apartment,Other,Apartment,3 Bedroom Standard Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,3-Bedroom Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,3-Bedroom Apartment For 5 People,
apartment ,Other,Other,Apartment,Other,Apartment,3-Bedroom Apartment For 7 People,
apartment ,Other,Other,Apartment,Other,Apartment,3-Bedroom Apartment For 8 People,
apartment ,Other,Other,Apartment,Other,Apartment,3-Bedroom Apartment With 2 Bathrooms,
apartment ,Other,Other,Apartment,city ,Apartment,3-Bedroom City View Apartment - Non-Smoking,
apartment ,Other,Other,Apartment,Other,Apartment,Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,Apartment - 1 Bedroom,
apartment ,Other,Other,Apartment,Other,Apartment,Apartment - 2 Bedroom,
apartment ,single ,Other,Apartment,Other,Apartment,Apartment 1 Bedroom,
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 1a ( 7 Pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 1b ( 6 Pax),
apartment ,double ,Other,Apartment,Other,Apartment,Apartment 2 Bedroom,
apartment ,double ,Other,Apartment,Other,Apartment,Apartment 2 Bedroom - Luxury,
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 2a ( 7 Pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 2b ( 6 Pax),
apartment ,triple ,Other,Apartment,Other,Apartment,Apartment 3 Bedroom,
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 3a ( 7 Pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 3b ( 6 Pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 4a ( 7 Pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 4b ( 6 Pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 5,
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 5a ( 7 Pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 5b ( 6 Pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 6,
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 6a ( 7 Pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 6b ( 6 Pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 7a ( 7 Pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 7b ( 6 Pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 8a ( 7pax),
apartment ,Other,Other,Apartment,Other,Apartment,Apartment 8b ( 6 Pax),
apartment ,twin ,Other,Apartment,Other,Apartment,Apartment Capacity 4 Two Bedrooms,
apartment ,single ,Other,Apartment,Other,Apartment,Apartment One Bedroom,
apartment ,Other,queen ,Apartment,Other,Apartment,Apartment Queen Room,
apartment ,triple ,Other,Apartment,Other,Apartment,Apartment Three Bedrooms,
apartment ,double ,Other,Apartment,Other,Apartment,Apartment Two Bedrooms,
apartment residence ,double ,Other,Apartment,Other,Apartment,Apartment Two Bedrooms Residence,
apartment ,single ,Other,Apartment,Other,Apartment,Apartment With 1-Bedroom,
apartment ,Other,Other,Apartment,Other,Apartment,Apartment With Balcony,
apartment ,single ,Other,Apartment,Other,Apartment,"Apartment, 1 Bedroom",
apartment ,single ,Other,Apartment,Other,Apartment,"Apartment, 1 Bedroom ( #1 )",
apartment ,single ,Other,Apartment,Other,Apartment,"Apartment, 1 Bedroom ( #2 )",
apartment ,single ,Other,Apartment,Other,Apartment,"Apartment, 1 Bedroom, Balcony",
apartment ,single ,Other,Apartment,Other,Apartment,"Apartment, 1 Bedroom, Non Smoking (Study)",
apartment ,double twin ,Other,Apartment,Other,Apartment,"Apartment, 1 Double Or 2 Twin Beds",
apartment ,Other,Other,Apartment,city ,Apartment,"Apartment, 2 Bedrooms, City View",
apartment shared ,Other,Other,Apartment,Other,Apartment,"Apartment, 2 Bedrooms, Shared Bathroom",
