hotelType,bedType,bed,roomType,view,origin,room_master
apartment ,Other,Other,Other,Other,01 Bedroom Apartment,
apartment ,Other,Other,Other,Other,02 Bedroom Apartment,
apartment ,Other,Other,deluxe ,city ,1 Bed Apartment Deluxe City,
apartment ,Other,Other,Other,Other,1 Bedroom + Living Room Apartment 2 People,
apartment ,Other,Other,Other,Other,1 Bedroom Apartment,
apartment ,Other,Other,Other,Other,1 Bedroom Apartment (1),
apartment ,Other,Other,Other,Other,1 Bedroom Apartment (2 Adults),
apartment ,Other,Other,Other,Other,1 Bedroom Apartment (2),
apartment ,Other,Other,Other,Other,1 Bedroom Apartment (4 Adults),
apartment ,Other,Other,Other,Other,1 Bedroom Apartment - Room Only,
apartment ,Other,Other,deluxe ,Other,1 Bedroom Apartment Deluxe,
apartment ,Other,Other,Other,Other,1 Bedroom Apartment Hot Deal,
apartment ,Other,Other,Other,Other,1 Bedroom Apartment With Breakfast,
apartment ,king ,Other,Other,Other,"1 Bedroom Apartment, 1 King Size Bed",
apartment ,Other,Other,deluxe ,Other,1 Bedroom Deluxe Apartment,
apartment ,Other,Other,executive ,Other,1 Bedroom Executive Apartment,
apartment ,Other,Other,deluxe ,Other,1 Bedroom Grand Deluxe Apartment,
apartment ,Other,Other,premier ,Other,1 Bedroom Premier Apartment,
apartment ,Other,Other,Other,Other,1 Bedroom Service Apartment,
apartment ,Other,Other,superior ,Other,1 Bedroom Superior Apartment,
apartment ,Other,Other,Other,Other,1-Bedroom Apartment,
apartment ,king ,Other,Other,Other,1-Bedroom Apartment With King Bed,
apartment ,Other,Other,deluxe ,Other,1-Bedroom Grand Deluxe Apartment,
apartment ,Other,Other,Other,Other,2 Bed Room Apartment,
apartment ,Other,Other,Other,Other,2 Bedroom Apartment,
apartment ,Other,Other,Other,Other,2 Bedroom Apartment (4 Adults),
apartment ,Other,Other,Other,Other,2 Bedroom Apartment (5 Adults),
apartment ,Other,Other,Other,Other,2 Bedroom Apartment (6 Adults),
apartment ,Other,Other,deluxe ,Other,2 Bedroom Apartment Deluxe,
apartment ,Other,Other,deluxe ,Other,2 Bedroom Deluxe Apartment,
apartment ,Other,Other,executive ,Other,2 Bedroom Executive Apartment,
