,bedType,bed,roomType,view,master_room_type,,,room_name,stt
,One Bedroom,Other,Other,Other,Apartment,Apartment,,One Bedroom Apartment,1
,One Bedroom,Other,Other,Other,Apartment,Apartment,,One-Bedroom Apartment,1
,One Bedroom,Other,Other,Other,Apartment,Apartment,,"Apartment,One BedRoom",1
,Three Bedrooms,Other,Other,Other,Apartment,Apartment,,Apartment Three Bedrooms,1
,Three Bedrooms,Other,Other,Other,Apartment,Apartment,,"Apartment, 3 Bedrooms",1
,Two Bedroom,Other,Other,Other,Apartment,Apartment,,"Apartment,Two BedRoom",1
,Two Bedrooms,Other,Other,Other,Apartment,Apartment,,Apartment 2 Bedrooms,1
,Two Bedrooms,Other,Other,Other,Apartment,Apartment,,"Apartment, 2 Bedrooms",1
,Two Bedrooms,Other,Other,Other,Apartment,Apartment,,Apartment 2 Bedrooms,1
,Two Bedrooms,Other,Other,Other,Apartment,Apartment,,"Apartment, 2 Bedrooms",1
,Two Bedrooms,Other,Other,Other,Apartment,Apartment,,Two Bedroom Apartment,1
,Two Bedrooms,Other,Other,Other,Apartment,Apartment,,Two-Bedroom Apartment,1
,Other,Other,suite ,Other,Apartment Family Suite,Apartment,,"Apartment 3 Bedroom, Family Suite, Subject To Availability",1
,Other,Other,suite ,Other,Apartment Family Suite,Apartment,,Family 1 Bedroom Suite Apartment,1
,Other,Other,suite ,Other,Apartment Family Suite,Apartment,,"Apartment 2 Bedroom Upgrade To Family Suite, Subject To Availability",1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,Family 2 Bedroom  Suite Apartment,1
,Other,Other,suite ,Other,Apartment Family Suite,Apartment,,"Apartment 1 Bedroom Upgrade To Family Suite, Subject To Availability",1
,Other,Other,suite ,Other,Apartment Family Suite,Apartment,,Family Suite Apartment,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,2 Bedroom Suite Apartment,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,Apartment Suite 2 Bedroom,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,Suite Apartment 2 Bedroom,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,3 Bedroom Suite Apartment,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,Apartment Suite 3 Bedroom,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,Suite Apartment 2 Bedroom,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,1 Bedroom Suite Apartment,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,Apartment Suite,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,Suite Apartment,1
,Other,Other,suite ,Other,Business Suite,,,Business Suite,1
,double ,Other,classic ,Other,Classic,,,Classic Double,1
,double ,Other,classic ,Other,Classic,,,Classic Double Room,1
,double ,Other,classic ,Other,Classic,,,Double Classic,1
,double ,queen ,classic ,Other,Classic,,,Double Classic Queen,1
