,bedType,bed,roomType,view,tuan,master_room_type,,,,room_name,stt
,Other,Other,adjoining ,Other,adjoining ,adjoining ,,,,Adjoining Room,2
,Other,Other,adjoining ,Other,adjoining ,adjoining ,,,,Adjoining Rooms,2
,One Bedroom,Other,Other,Other,Apartment,Apartment,,,,One Bedroom Apartment,1
,One Bedroom,Other,Other,Other,Apartment,Apartment,,,,One-Bedroom Apartment,1
,One Bedroom,Other,Other,Other,Apartment,Apartment,,,,"Apartment,One BedRoom",1
,Three Bedrooms,Other,Other,Other,Apartment,Apartment,,,,Apartment Three Bedrooms,1
,Three Bedrooms,Other,Other,Other,Apartment,Apartment,,,,"Apartment, 3 Bedrooms",1
,Two Bedroom,Other,Other,Other,Apartment,Apartment,,,,"Apartment,Two BedRoom",1
,Two Bedrooms,Other,Other,Other,Apartment,Apartment,,,,Apartment 2 Bedrooms,1
,Two Bedrooms,Other,Other,Other,Apartment,Apartment,,,,"Apartment, 2 Bedrooms",1
,Two Bedrooms,Other,Other,Other,Apartment,Apartment,,,,Apartment 2 Bedrooms,1
,Two Bedrooms,Other,Other,Other,Apartment,Apartment,,,,"Apartment, 2 Bedrooms",1
,Two Bedrooms,Other,Other,Other,Apartment,Apartment,,,,Two Bedroom Apartment,1
,Two Bedrooms,Other,Other,Other,Apartment,Apartment,,,,Two-Bedroom Apartment,1
,Other,Other,Apartment,Other,Apartment,Apartment,,,,1 Bedroom + Living Room Apartment 2 People,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,1 Bedroom Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,1 Bedroom Apartment (1),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,1 Bedroom Apartment (2 Adults),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,1 Bedroom Apartment (2),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,1 Bedroom Apartment (4 Adults),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,1 Bedroom Apartment - Room Only,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,1 Bedroom Apartment Hot Deal,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,1 Bedroom Apartment With Breakfast,2
,Other,king ,Apartment,Other,Apartment,Apartment,,,,"1 Bedroom Apartment, 1 King Size Bed",2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,1 Bedroom Service Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,1-Bedroom Apartment,2
,Other,king ,Apartment,Other,Apartment,Apartment,,,,1-Bedroom Apartment With King Bed,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,2 Bed Room Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,2 Bedroom Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,2 Bedroom Apartment (4 Adults),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,2 Bedroom Apartment (5 Adults),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,2 Bedroom Apartment (6 Adults),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,2 Bedrooms Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,2-Bedroom Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,2-Bedroom Apartment ‒ Non-Smoking,2
,Other,Other,Apartment,city ,Apartment,Apartment,,,,2-Bedroom City View Apartment With Terrace,2
,Other,Other,Apartment,Sea,Apartment,Apartment,,,,3 Bed Room Apartment With Sea View,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,3 Bedroom Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,3 Bedroom Apartment (6 Adults),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,3 Bedroom Standard Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,3-Bedroom Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,3-Bedroom Apartment For 5 People,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,3-Bedroom Apartment For 7 People,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,3-Bedroom Apartment For 8 People,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,3-Bedroom Apartment With 2 Bathrooms,2
,Other,Other,Apartment,city ,Apartment,Apartment,,,,3-Bedroom City View Apartment - Non-Smoking,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment - 1 Bedroom,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment - 2 Bedroom,2
,single ,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 1 Bedroom,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 1a ( 7 Pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 1b ( 6 Pax),2
,double ,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 2 Bedroom,2
,double ,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 2 Bedroom - Luxury,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 2a ( 7 Pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 2b ( 6 Pax),2
,triple ,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 3 Bedroom,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 3a ( 7 Pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 3b ( 6 Pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 4a ( 7 Pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 4b ( 6 Pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 5,2
