room_name,master_room_type,stt
A djoining ,adjoining ,2
Ad joining ,adjoining ,
Adj oining ,adjoining ,
Adjo ining ,adjoining ,
Adjoi ning ,adjoining ,
Adjoin ing ,adjoining ,
Adjoinings ,adjoining ,
adjoining ,adjoining ,
adjoining ,adjoining ,
adjoinings,adjoining ,
Apartment,Apartment,2
Apartment,Apartment,
Apartment,Apartment,
Apartment,Apartment,
Apartment,Apartment,
Apartment,Apartment,
Apartment,Apartment,
Apartment,Apartment,
Apartment,Apartment,
Apartment deluxe ,Apartment deluxe ,
Apartment deluxe ,Apartment deluxe ,
Apartment deluxe ,Apartment deluxe ,
Apartment deluxe ,Apartment deluxe ,
Apartment deluxe ,Apartment deluxe ,
Apartment deluxe ,Apartment deluxe ,
Apartment deluxe ,Apartment deluxe ,
Apartment deluxe ,Apartment deluxe ,
Apartment deluxe ,Apartment deluxe ,
Apartment deluxe ,Apartment deluxe ,
Executive Apartment,Apartment Executive,2
Apartment Executive,Apartment Executive,
Executive Apartment,Apartment Executive,
Apartment Executive,Apartment Executive,
Executive Apartment,Apartment Executive,
Apartment Executive,Apartment Executive,
Executive Apartment,Apartment Executive,
Apartment Executive,Apartment Executive,
Executive Apartment,Apartment Executive,
Executive Apartment,Apartment Executive,
Apartment Executive,Apartment Executive,
Executive Apartment,Apartment Executive,
Apartment Executive,Apartment Executive,
Executive Apartment,Apartment Executive,
Apartment Executive,Apartment Executive,
Executive Apartment,Apartment Executive,
Apartment Executive,Apartment Executive,
Executive Apartment,Apartment Executive,
Apartment Executive,Apartment Executive,
Executive Apartment,Apartment Executive,
Family Apartment  Suite,Apartment Family Suite,1
Apartment  Suite Family,Apartment Family Suite,
Suite Apartment Family ,Apartment Family Suite,
Family Apartment  Suite,Apartment Family Suite,
Apartment  Suite Family,Apartment Family Suite,
Suite Apartment Family ,Apartment Family Suite,
Family Apartment  Suite,Apartment Family Suite,
Apartment  Suite Family,Apartment Family Suite,
Suite  Family Apartment,Apartment Family Suite,
Family Suite  Apartment,Apartment Family Suite,
Premier Apartment ,Apartment premier,2
Apartment premier,Apartment premier,
Premier Apartment ,Apartment premier,
Apartment premier,Apartment premier,
