bedType,bed,roomType,view,master_room_type,,room_name,stt
,,,,Apartment,Apartment,One Bedroom Apartment,1
,,,,Apartment,Apartment,One-Bedroom Apartment,1
,,,,Apartment,Apartment,"Apartment,One BedRoom",1
,,,,Apartment,Apartment,Apartment Three Bedrooms,1
,,,,Apartment,Apartment,"Apartment, 3 Bedrooms",1
,,,,Apartment,Apartment,"Apartment,Two BedRoom",1
,,,,Apartment,Apartment,Apartment 2 Bedrooms,1
,,,,Apartment,Apartment,"Apartment, 2 Bedrooms",1
,,,,Apartment,Apartment,Apartment 2 Bedrooms,1
,,,,Apartment,Apartment,"Apartment, 2 Bedrooms",1
,,,,Apartment,Apartment,Two Bedroom Apartment,1
,,,,Apartment,Apartment,Two-Bedroom Apartment,1
,,suite ,,Apartment Family Suite,Apartment,"Apartment 3 Bedroom, Family Suite, Subject To Availability",1
,,suite ,,Apartment Family Suite,Apartment,Family 1 Bedroom Suite Apartment,1
,,suite ,,Apartment Family Suite,Apartment,"Apartment 2 Bedroom Upgrade To Family Suite, Subject To Availability",1
,,suite ,,Apartment Suite,Apartment,Family 2 Bedroom  Suite Apartment,1
,,suite ,,Apartment Family Suite,Apartment,"Apartment 1 Bedroom Upgrade To Family Suite, Subject To Availability",1
,,suite ,,Apartment Family Suite,Apartment,Family Suite Apartment,1
,,suite ,,Apartment Suite,Apartment,2 Bedroom Suite Apartment,1
,,suite ,,Apartment Suite,Apartment,Apartment Suite 2 Bedroom,1
,,suite ,,Apartment Suite,Apartment,Suite Apartment 2 Bedroom,1
,,suite ,,Apartment Suite,Apartment,3 Bedroom Suite Apartment,1
,,suite ,,Apartment Suite,Apartment,Apartment Suite 3 Bedroom,1
,,suite ,,Apartment Suite,Apartment,Suite Apartment 2 Bedroom,1
,,suite ,,Apartment Suite,Apartment,1 Bedroom Suite Apartment,1
,,suite ,,Apartment Suite,Apartment,Apartment Suite,1
,,suite ,,Apartment Suite,Apartment,Suite Apartment,1
,,suite ,,Business Suite,,Business Suite,1
double ,,classic ,,Classic,,Classic Double,1
double ,,classic ,,Classic,,Classic Double Room,1
double ,,classic ,,Classic,,Double Classic,1
double ,queen ,classic ,,Classic,,Double Classic Queen,1
double ,queen ,classic ,,Classic,,Double Room Queen Bed - Classic,1
double twin  ,,classic ,,Classic,,Classic Double Or Twin Room,1
double twin  ,,classic ,,Classic,,Double Or Twin Classic,1
double twin  ,,classic ,,Classic,,Twin/Double Room - Classic,1
single ,,classic ,,Classic,,Classic Room 4 Person (Super Single Bed),1
twin ,,classic ,,Classic,,Twin Classic,1
twin ,,classic ,,Classic,,Twin Room - Classic,1
,,classic ,,Classic,,Classic Room,1
double ,,classic premium ,City,Classic Premium,,Classic Premium Double Room With No View,1
double ,,classic premium ,City,Classic Premium,,Classic Premium Double Room With City View,1
double twin  ,,classic premium ,,Classic Premium,,Double Or Twin Classic Premium,1
single ,,classic premium ,,Classic Premium,,Classic Premium Single Room With City View,1
single twin ,,classic premium ,,Classic Premium,,Single Or Twin Classic Premium,1
twin ,,classic premium ,,Classic Premium,,"Classic Premium Room, 3 Twin Beds",1
twin ,,classic premium ,,Classic Premium,,"Classic Premium Room, 2 Twin Beds",1
,,classic premium ,,Classic Premium,,Classic Premium,1
double ,,,,Club,Club,Double Club,1
double ,,,,Club,Club,Double Club Room Plus,1
double ,,,Towers,Club,Club,Double Club Twin Towers View Room,1
double ,,,Towers,Club,Club,Double Club Twin-Tower View,1
double ,,,,Club,Club,Double Room - Club Room,1
double twin  ,,,,Club,Club,Double Or Twin Club,1
double twin  ,,,,Club,Club,Twin/Double Room - Club Room,1
single ,,,,Club,Club,2 Single Club Nonsmoking,1
twin ,,,,Club,Club,Club Twin,1
twin ,,,,Club,Club,Club Twin Room,1
twin ,,,,Club,Club,Club Twin Room With View,1
twin ,,,,Club,Club,Twin Club,1
twin ,,,,Club,Club,Twin Club Room Plus,1
twin ,,,Towers,Club,Club,Twin Club Towers View,1
twin ,,,,Club,Club,Twin Royal Club,1
,,,,Club,Club,Club,1
,,,,Club,Club,Club Room With Club Benefits,1
,,,,Club,Club,Club Twin Towers View,1
,,,,Club,Club,Club With Club Benefits,1
,king ,,Garden,Club,Club,Club Garden View King,1
,king ,,,Club,Club,Club King,1
,king ,,,Club,Club,Club King Room,1
,king ,,,Club,Club,Club King View,1
,king ,,,Club,Club,"Club Room, 1 King Bed, Smoking",1
,king ,,,Club,Club,Club Tower King Room,1
,king ,,,Club,Club,Double Room King Bed - Club Room,1
