bedType,bed,roomType,view,master_room_type,room_name,
One Bedroom,Other,Other,Other,Apartment,One Bedroom Apartment,
One Bedroom,Other,Other,Other,Apartment,One-Bedroom Apartment,
One Bedroom,Other,Other,Other,Apartment,"Apartment,One BedRoom",
Three Bedrooms,Other,Other,Other,Apartment,Apartment Three Bedrooms,
Three Bedrooms,Other,Other,Other,Apartment,"Apartment, 3 Bedrooms",
Two Bedroom,Other,Other,Other,Apartment,"Apartment,Two BedRoom",
Two Bedrooms,Other,Other,Other,Apartment,Apartment 2 Bedrooms,
Two Bedrooms,Other,Other,Other,Apartment,"Apartment, 2 Bedrooms",
Two Bedrooms,Other,Other,Other,Apartment,Apartment 2 Bedrooms,
Two Bedrooms,Other,Other,Other,Apartment,"Apartment, 2 Bedrooms",
Two Bedrooms,Other,Other,Other,Apartment,Two Bedroom Apartment,
Two Bedrooms,Other,Other,Other,Apartment,Two-Bedroom Apartment,
Other,Other,suite ,Other,Apartment Family Suite,"Apartment 3 Bedroom, Family Suite, Subject To Availability",
Other,Other,suite ,Other,Apartment Family Suite,Family 1 Bedroom Suite Apartment,
Other,Other,suite ,Other,Apartment Family Suite,"Apartment 2 Bedroom Upgrade To Family Suite, Subject To Availability",
Other,Other,suite ,Other,Apartment Suite,Family 2 Bedroom  Suite Apartment,
Other,Other,suite ,Other,Apartment Family Suite,"Apartment 1 Bedroom Upgrade To Family Suite, Subject To Availability",
Other,Other,suite ,Other,Apartment Family Suite,Family Suite Apartment,
Other,Other,suite ,Other,Apartment Suite,2 Bedroom Suite Apartment,
Other,Other,suite ,Other,Apartment Suite,Apartment Suite 2 Bedroom,
Other,Other,suite ,Other,Apartment Suite,Suite Apartment 2 Bedroom,
Other,Other,suite ,Other,Apartment Suite,3 Bedroom Suite Apartment,
Other,Other,suite ,Other,Apartment Suite,Apartment Suite 3 Bedroom,
Other,Other,suite ,Other,Apartment Suite,Suite Apartment 2 Bedroom,
Other,Other,suite ,Other,Apartment Suite,1 Bedroom Suite Apartment,
Other,Other,suite ,Other,Apartment Suite,Apartment Suite,
Other,Other,suite ,Other,Apartment Suite,Suite Apartment,
Other,Other,suite ,Other,Business Suite,Business Suite,
double ,Other,classic ,Other,Classic,Classic Double,
double ,Other,classic ,Other,Classic,Classic Double Room,
double ,Other,classic ,Other,Classic,Double Classic,
double ,queen ,classic ,Other,Classic,Double Classic Queen,
double ,queen ,classic ,Other,Classic,Double Room Queen Bed - Classic,
double twin  ,Other,classic ,Other,Classic,Classic Double Or Twin Room,
double twin  ,Other,classic ,Other,Classic,Double Or Twin Classic,
double twin  ,Other,classic ,Other,Classic,Twin/Double Room - Classic,
single ,Other,classic ,Other,Classic,Classic Room 4 Person (Super Single Bed),
twin ,Other,classic ,Other,Classic,Twin Classic,
twin ,Other,classic ,Other,Classic,Twin Room - Classic,
Other,Other,classic ,Other,Classic,Classic Room,
double ,Other,classic premium ,City,Classic Premium,Classic Premium Double Room With No View,
