bedType,bed,roomType,view,master_room_type,room_name,
One Bedroom,,,,Apartment,One Bedroom Apartment,
One Bedroom,,,,Apartment,One-Bedroom Apartment,
One Bedroom,,,,Apartment,"Apartment,One BedRoom",
Three Bedrooms,,,,Apartment,Apartment Three Bedrooms,
Three Bedrooms,,,,Apartment,"Apartment, 3 Bedrooms",
Two Bedroom,,,,Apartment,"Apartment,Two BedRoom",
Two Bedrooms,,,,Apartment,Apartment 2 Bedrooms,
Two Bedrooms,,,,Apartment,"Apartment, 2 Bedrooms",
Two Bedrooms,,,,Apartment,Apartment 2 Bedrooms,
Two Bedrooms,,,,Apartment,"Apartment, 2 Bedrooms",
Two Bedrooms,,,,Apartment,Two Bedroom Apartment,
Two Bedrooms,,,,Apartment,Two-Bedroom Apartment,
,,suite ,,Apartment Family Suite,"Apartment 3 Bedroom, Family Suite, Subject To Availability",
,,suite ,,Apartment Family Suite,Family 1 Bedroom Suite Apartment,
,,suite ,,Apartment Family Suite,"Apartment 2 Bedroom Upgrade To Family Suite, Subject To Availability",
,,suite ,,Apartment Suite,Family 2 Bedroom  Suite Apartment,
,,suite ,,Apartment Family Suite,"Apartment 1 Bedroom Upgrade To Family Suite, Subject To Availability",
,,suite ,,Apartment Family Suite,Family Suite Apartment,
,,suite ,,Apartment Suite,2 Bedroom Suite Apartment,
,,suite ,,Apartment Suite,Apartment Suite 2 Bedroom,
,,suite ,,Apartment Suite,Suite Apartment 2 Bedroom,
,,suite ,,Apartment Suite,3 Bedroom Suite Apartment,
,,suite ,,Apartment Suite,Apartment Suite 3 Bedroom,
,,suite ,,Apartment Suite,Suite Apartment 2 Bedroom,
,,suite ,,Apartment Suite,1 Bedroom Suite Apartment,
,,suite ,,Apartment Suite,Apartment Suite,
,,suite ,,Apartment Suite,Suite Apartment,
,,suite ,,Business Suite,Business Suite,
double ,,classic ,,Classic,Classic Double,
double ,,classic ,,Classic,Classic Double Room,
double ,,classic ,,Classic,Double Classic,
double ,queen ,classic ,,Classic,Double Classic Queen,
double ,queen ,classic ,,Classic,Double Room Queen Bed - Classic,
double twin  ,,classic ,,Classic,Classic Double Or Twin Room,
double twin  ,,classic ,,Classic,Double Or Twin Classic,
